Input0	Input1	Input2	Input3	Output	S0	s1
129	66	36	24	24	1	1
129	66	36	24	36	1	0
129	66	36	24	129	0	0
128	66	36	24	128	0	0
129	66	36	24	129	0	0
1	66	36	24	1	0	0
129	66	36	24	129	0	0
129	66	36	24	36	1	0
129	66	36	24	24	1	1
129	66	36	24	66	0	1
129	66	36	24	129	0	0
129	66	36	24	66	0	1
129	98	36	24	98	0	1
129	114	36	24	114	0	1
129	122	36	24	122	0	1
129	126	36	24	126	0	1
129	126	36	24	24	1	1
129	126	36	26	26	1	1
129	126	36	10	10	1	1
129	126	52	10	10	1	1
129	126	52	10	126	0	1
129	126	52	10	129	0	0
129	126	52	10	52	1	0
129	126	20	10	20	1	0
129	118	20	10	20	1	0
129	86	20	10	20	1	0
129	70	20	10	20	1	0
129	70	20	10	10	1	1
129	70	20	74	74	1	1
